taskID;X;Y;D;E
0;158;15;1;2
1;45;210;1;2
2;94;118;1;2
3;130;19;1;1
4;132;185;1;2
5;201;215;1;2
6;30;183;1;1
7;126;132;1;1
8;2;97;1;0
9;195;36;1;2
10;211;135;1;0
11;12;90;1;0
12;80;14;1;1
13;9;62;1;0
14;66;58;1;2
15;208;8;1;1
16;156;220;1;2
17;88;167;1;0
18;17;191;1;1
19;190;64;1;1
20;21;12;1;1
21;74;162;1;0
22;214;155;1;2
23;200;28;1;1
24;62;172;1;2
25;147;193;1;0
26;73;65;1;2
27;159;103;1;2
28;166;200;1;2
29;182;157;1;2
30;0;13;1;0
31;154;191;1;2
32;177;8;1;1
33;57;221;1;2
34;172;100;1;1
35;113;183;1;0
36;156;53;1;0
37;99;185;1;2
38;217;163;1;0
39;162;159;1;1
40;119;220;1;0
41;99;204;1;0
42;215;19;1;0
43;140;213;1;0
44;173;141;1;0
45;134;177;1;0
46;199;76;1;1
47;14;112;1;0
48;67;154;1;2
49;50;88;1;2
50;120;215;1;0
51;108;73;1;0
52;181;221;1;0
53;174;175;1;0
54;138;133;1;2
55;206;190;1;1
56;77;27;1;2
57;128;88;1;2
58;86;180;1;1
59;24;14;1;0
60;204;42;1;1
61;76;132;1;2
62;191;68;1;1
63;91;67;1;2
64;201;66;1;2
65;173;221;1;2
66;112;77;1;0
67;204;83;1;2
68;65;170;1;1
69;92;61;1;0
70;178;108;1;2
71;63;11;1;1
72;77;122;1;1
73;195;198;1;0
74;92;112;1;2
75;131;131;1;2
76;170;172;1;0
77;205;113;1;2
78;88;135;1;2
79;208;66;1;2
80;3;211;1;2
81;64;118;1;0
82;59;158;1;0
83;7;185;1;2
84;186;164;1;2
85;169;115;1;2
86;51;217;1;1
87;91;50;1;1
88;131;181;1;2
89;112;196;1;0
90;116;75;1;0
91;120;70;1;0
92;101;166;1;0
93;9;148;1;0
94;8;50;1;2
95;133;137;1;0
96;39;83;1;2
97;206;180;1;0
98;63;53;1;0
99;1;58;1;0
