taskID;X;Y;D;E
0;198;76;1;0
1;42;108;1;1
2;14;21;1;0
3;190;126;1;2
4;38;102;1;0
5;38;85;1;2
6;31;114;1;1
7;141;10;1;2
8;68;174;1;0
9;203;3;1;0
10;126;1;1;2
11;7;9;1;2
12;48;151;1;2
13;84;91;1;2
14;53;98;1;2
15;22;55;1;1
16;176;60;1;2
17;165;108;1;0
18;189;100;1;0
19;116;147;1;0
20;71;164;1;2
21;157;125;1;2
22;109;14;1;1
23;182;108;1;2
24;185;151;1;0
25;193;48;1;1
26;150;178;1;1
27;178;62;1;1
28;131;15;1;2
29;55;84;1;2
30;77;30;1;1
31;148;115;1;1
32;92;207;1;2
33;127;46;1;2
34;166;147;1;2
35;129;87;1;2
36;31;71;1;1
37;77;153;1;0
38;151;178;1;1
39;22;208;1;0
40;183;158;1;1
41;94;89;1;0
42;34;84;1;2
43;50;68;1;1
44;217;83;1;1
45;12;103;1;0
46;172;212;1;0
47;107;89;1;2
48;126;186;1;2
49;14;21;1;1
50;217;41;1;1
51;189;105;1;0
52;212;9;1;1
53;57;172;1;2
54;109;35;1;1
55;204;12;1;1
56;103;55;1;1
57;137;103;1;2
58;1;209;1;2
59;2;196;1;1
60;208;77;1;1
61;88;194;1;1
62;123;54;1;0
63;176;216;1;2
64;176;132;1;2
65;163;47;1;2
66;123;121;1;0
67;3;148;1;1
68;4;97;1;0
69;182;95;1;0
70;210;109;1;0
71;200;178;1;2
72;139;103;1;2
73;60;80;1;2
74;102;207;1;0
75;199;165;1;2
76;204;28;1;1
77;172;188;1;0
78;95;102;1;0
79;48;113;1;0
80;54;58;1;2
81;129;30;1;0
82;31;160;1;0
83;216;147;1;0
84;99;17;1;1
85;0;164;1;2
86;45;98;1;1
87;58;56;1;1
88;159;147;1;1
89;92;0;1;2
90;187;100;1;2
91;10;110;1;1
92;32;130;1;2
93;215;117;1;1
94;153;119;1;0
95;31;83;1;1
96;125;164;1;1
97;107;181;1;0
98;209;113;1;2
99;52;210;1;2
100;7;219;1;2
101;162;30;1;0
102;92;73;1;0
103;35;115;1;1
104;128;151;1;2
105;136;21;1;1
106;99;132;1;0
107;91;106;1;1
108;104;159;1;0
109;89;189;1;2
110;15;56;1;1
111;20;197;1;0
112;166;32;1;1
113;123;99;1;1
114;124;201;1;2
115;63;150;1;0
116;36;217;1;0
117;61;60;1;1
118;139;112;1;2
119;15;132;1;1
120;75;56;1;0
121;84;11;1;2
122;91;189;1;2
123;23;142;1;2
124;61;2;1;2
125;119;89;1;2
126;140;140;1;0
127;20;42;1;0
128;8;40;1;0
129;119;79;1;2
130;197;105;1;2
131;215;126;1;2
132;152;11;1;0
133;138;196;1;0
134;136;163;1;1
135;36;54;1;1
136;68;87;1;1
137;115;185;1;0
138;133;101;1;1
139;174;93;1;0
140;74;184;1;1
141;47;68;1;0
142;134;64;1;2
143;12;30;1;2
144;174;113;1;2
145;33;195;1;0
146;217;164;1;0
147;188;166;1;0
148;169;170;1;1
149;185;154;1;0
